1.201227,799,799,599,-1
1.205373,805,805,605,5
1.209743,812,812,612,12
1.215367,819,819,619,19
1.220054,825,825,625,25
1.223789,828,828,628,28
1.227688,830,830,630,30
1.231260,830,830,630,30
1.234878,830,830,630,30
1.237587,830,830,630,30
1.242754,828,828,628,28
1.247982,818,818,618,18
1.252631,781,781,581,-19
1.257266,705,705,505,-95
1.262468,601,601,401,-199
1.267434,480,480,280,-320
1.271444,356,356,156,-444
1.275446,277,277,77,-523
1.279647,226,226,26,-574
1.283824,200,200,0,-600
1.288566,186,186,-14,-614
1.292852,181,181,-19,-619
1.298494,179,179,-21,-621
1.303375,178,178,-22,-622
1.308170,176,176,-24,-624
1.312148,174,174,-26,-626
1.317214,172,172,-28,-628
1.321147,171,171,-29,-629
1.325955,175,175,-25,-625
1.331114,210,210,10,-590
1.335996,355,355,155,-445
1.340977,540,540,340,-260
1.345557,756,756,556,-44
1.350383,846,846,646,46
1.354403,910,910,710,110
1.359175,937,937,737,137
1.363623,950,950,750,150
1.368174,953,953,753,153
1.373178,954,954,754,154
1.378480,954,954,754,154
1.381609,954,954,754,154
1.384620,954,954,754,154
1.387379,954,954,754,154
1.391908,947,947,747,147
1.395965,901,901,701,101
1.401204,725,725,525,-75
1.406279,517,517,317,-283
1.410659,397,397,197,-403
1.414361,333,333,133,-467
1.420134,279,279,79,-521
1.424592,258,258,58,-542
1.429528,231,231,31,-569
1.434443,219,219,19,-581
1.438320,210,210,10,-590
1.442610,202,202,2,-598
1.446299,193,193,-7,-607
1.450541,179,179,-21,-621
1.454626,162,162,-38,-638
1.459264,152,152,-48,-648
1.462350,147,147,-53,-653
1.467330,145,145,-55,-655
1.469726,145,145,-55,-655
1.474450,152,152,-48,-648
1.478936,209,209,9,-591
1.483252,336,336,136,-464
1.487920,520,520,320,-280
1.492261,715,715,515,-85
1.497352,849,849,649,49
1.502361,932,932,732,132
1.506322,963,963,763,163
1.510296,983,983,783,183
1.513954,988,988,788,188
1.517936,989,989,789,189
1.520948,989,989,789,189
1.525826,988,988,788,188
1.529030,984,984,784,184
1.534151,975,975,775,175
1.539373,924,924,724,124
1.544218,839,839,639,39
1.547983,733,733,533,-67
1.552072,636,636,436,-164
1.556483,552,552,352,-248
1.560685,500,500,300,-300
1.565425,464,464,264,-336
1.570364,440,440,240,-360
1.575364,425,425,225,-375
1.579474,417,417,217,-383
1.583290,407,407,207,-393
1.587422,398,398,198,-402
1.591480,390,390,190,-410
1.596018,382,382,182,-418
1.599494,378,378,178,-422
1.603917,373,373,173,-427
1.606314,373,373,173,-427
1.609140,373,373,173,-427
1.612920,373,373,173,-427
1.615574,373,373,173,-427
1.618770,373,373,173,-427
1.621556,373,373,173,-427
1.624028,373,373,173,-427
1.626119,373,373,173,-427
1.628249,373,373,173,-427
1.631163,373,373,173,-427
1.634151,373,373,173,-427
1.637597,373,373,173,-427
1.640650,373,373,173,-427
